facid
01 Alabama
02 Alaska
03 Arizona
04 Arkansas
05 California
06 Colorado
09 District of Columbia
10 Florida
11 Georgia
13 Idaho
14 Illinois
15 Indiana
16 Iowa
17 Kansas
18 Kentucky
19 Louisiana
20 Maine
21 Maryland
22 Massachusetts
23 Michigan
24 Minnesota
25 Mississippi
26 Missouri
27 Montana
28 Nebraska
29 Nevada
30 New Hampshire
31 New Jersey
32 New Mexico
33 New York
34 North Carolina
35 North Dakota
36 Ohio
37 Oklahoma
38 Oregon
39 Pennsylvania
41 South Carolina
42 South Dakota
43 Tennessee
44 Texas
45 Utah
47 Virginia
48 Washington
49 West Virginia
50 Wisconsin
51 Wyoming
